LIGA,CONFRONTO_CASA,CONFRONTO_FORA,PLACAR_CASA,PLACAR_FORA,RESULTADO
BRASIL - SÉRIE A,PALMEIRAS,ATLÉTICO MINEIRO,3,0,CASA
BRASIL - SÉRIE A,GRÊMIO,BRAGANTINO,2,1,CASA
BRASIL - SÉRIE A,FORTALEZA EC,FLUMINENSE,0,1,FORA
BRASIL - SÉRIE A,FLAMENGO,SÃO PAULO,1,4,FORA
BRASIL - SÉRIE A,SPORT RECIFE,ATLÉTICO PARANAENSE,1,0,CASA
BRASIL - SÉRIE A,SANTOS,EC BAHIA,3,1,CASA
BRASIL - SÉRIE A,GOIÁS,VASCO DA GAMA,1,1,EMPATE
BRASIL - SÉRIE A,BOTAFOGO,CEARÁ,2,2,EMPATE
BRASIL - SÉRIE A,CORINTHIANS,INTERNACIONAL,1,0,CASA
BRASIL - SÉRIE A,CORITIBA,ATLÉTICO GOIANIENSE,1,0,CASA
BRASIL - SÉRIE A,ATLÉTICO MINEIRO,SPORT RECIFE,0,0,EMPATE
BRASIL - SÉRIE A,ATLÉTICO GOIANIENSE,PALMEIRAS,0,3,FORA
BRASIL - SÉRIE A,FLUMINENSE,SANTOS,3,1,CASA
BRASIL - SÉRIE A,INTERNACIONAL,FLAMENGO,2,2,EMPATE
BRASIL - SÉRIE A,ATLÉTICO PARANAENSE,GRÊMIO,1,2,FORA
BRASIL - SÉRIE A,BRAGANTINO,GOIÁS,2,0,CASA
BRASIL - SÉRIE A,CEARÁ,CORITIBA,2,1,CASA
BRASIL - SÉRIE A,VASCO DA GAMA,CORINTHIANS,1,2,FORA
BRASIL - SÉRIE A,BOTAFOGO,GOIÁS,0,0,EMPATE
BRASIL - SÉRIE A,EC BAHIA,ATLÉTICO MINEIRO,3,1,CASA
BRASIL - SÉRIE A,SÃO PAULO,GRÊMIO,0,0,EMPATE
BRASIL - SÉRIE A,CORINTHIANS,FLAMENGO,1,5,FORA
BRASIL - SÉRIE A,INTERNACIONAL,VASCO DA GAMA,2,0,CASA
BRASIL - SÉRIE A,FORTALEZA EC,PALMEIRAS,2,0,CASA
BRASIL - SÉRIE A,BRAGANTINO,SPORT RECIFE,2,0,CASA
BRASIL - SÉRIE A,ATLÉTICO GOIANIENSE,ATLÉTICO PARANAENSE,1,1,EMPATE
BRASIL - SÉRIE A,CORITIBA,SANTOS,1,2,FORA
BRASIL - SÉRIE A,FLUMINENSE,CEARÁ,2,2,EMPATE
BRASIL - SÉRIE A,GOIÁS,EC BAHIA,1,1,EMPATE
BRASIL - SÉRIE A,SPORT RECIFE,INTERNACIONAL,3,5,FORA
BRASIL - SÉRIE A,ATLÉTICO PARANAENSE,CORINTHIANS,0,1,FORA
BRASIL - SÉRIE A,ATLÉTICO MINEIRO,FLUMINENSE,1,1,EMPATE
BRASIL - SÉRIE A,FLAMENGO,BRAGANTINO,1,1,EMPATE
BRASIL - SÉRIE A,PALMEIRAS,CORITIBA,1,3,FORA
BRASIL - SÉRIE A,GRÊMIO,BOTAFOGO,3,1,CASA
BRASIL - SÉRIE A,SANTOS,ATLÉTICO GOIANIENSE,0,1,FORA
BRASIL - SÉRIE A,FLAMENGO,GOIÁS,2,1,CASA
BRASIL - SÉRIE A,ATLÉTICO MINEIRO,GOIÁS,3,0,CASA
BRASIL - SÉRIE A,FLUMINENSE,EC BAHIA,1,0,CASA
BRASIL - SÉRIE A,SANTOS,GRÊMIO,2,1,CASA
BRASIL - SÉRIE A,SPORT RECIFE,BOTAFOGO,1,2,FORA
BRASIL - SÉRIE A,ATLÉTICO GOIANIENSE,BRAGANTINO,2,1,CASA
BRASIL - SÉRIE A,CEARÁ,CORINTHIANS,2,1,CASA
BRASIL - SÉRIE A,INTERNACIONAL,ATLÉTICO PARANAENSE,2,1,CASA
BRASIL - SÉRIE A,VASCO DA GAMA,FLAMENGO,1,2,FORA
BRASIL - SÉRIE A,CORITIBA,FORTALEZA EC,0,0,EMPATE
BRASIL - SÉRIE A,PALMEIRAS,SÃO PAULO,0,2,FORA
BRASIL - SÉRIE A,BRAGANTINO,INTERNACIONAL,0,2,FORA
BRASIL - SÉRIE A,FORTALEZA EC,ATLÉTICO MINEIRO,2,1,CASA
BRASIL - SÉRIE A,BOTAFOGO,PALMEIRAS,2,1,CASA
BRASIL - SÉRIE A,ATLÉTICO PARANAENSE,CEARÁ,0,0,EMPATE
BRASIL - SÉRIE A,CORINTHIANS,SANTOS,1,1,EMPATE
BRASIL - SÉRIE A,FLAMENGO,SPORT RECIFE,3,0,CASA
BRASIL - SÉRIE A,GRÊMIO,CORITIBA,2,1,CASA
BRASIL - SÉRIE A,EC BAHIA,VASCO DA GAMA,3,0,CASA
BRASIL - SÉRIE A,SÃO PAULO,ATLÉTICO GOIANIENSE,3,0,CASA
BRASIL - SÉRIE A,GOIÁS,FLUMINENSE,2,4,FORA
BRASIL - SÉRIE A,BRAGANTINO,CORINTHIANS,0,0,EMPATE
BRASIL - SÉRIE A,BOTAFOGO,FLUMINENSE,1,1,EMPATE
BRASIL - SÉRIE A,CORITIBA,SÃO PAULO,1,1,EMPATE
BRASIL - SÉRIE A,FLAMENGO,ATLÉTICO PARANAENSE,3,1,CASA
BRASIL - SÉRIE A,EC BAHIA,SPORT RECIFE,1,2,FORA
BRASIL - SÉRIE A,FORTALEZA EC,ATLÉTICO GOIANIENSE,0,0,EMPATE
BRASIL - SÉRIE A,GOIÁS,SANTOS,2,3,FORA
BRASIL - SÉRIE A,ATLÉTICO MINEIRO,VASCO DA GAMA,4,1,CASA
BRASIL - SÉRIE A,GRÊMIO,INTERNACIONAL,1,1,EMPATE
BRASIL - SÉRIE A,PALMEIRAS,CEARÁ,2,1,CASA
BRASIL - SÉRIE A,BOTAFOGO,EC BAHIA,1,2,FORA
BRASIL - SÉRIE A,CORINTHIANS,ATLÉTICO GOIANIENSE,0,0,EMPATE
BRASIL - SÉRIE A,FLUMINENSE,CORITIBA,4,0,CASA
BRASIL - SÉRIE A,ATLÉTICO MINEIRO,GRÊMIO,3,1,CASA
BRASIL - SÉRIE A,VASCO DA GAMA,BRAGANTINO,1,1,EMPATE
BRASIL - SÉRIE A,PALMEIRAS,FLAMENGO,1,1,EMPATE
BRASIL - SÉRIE A,CEARÁ,GOIÁS,2,2,EMPATE
BRASIL - SÉRIE A,ATLÉTICO GOIANIENSE,BOTAFOGO,1,1,EMPATE
BRASIL - SÉRIE A,SANTOS,FORTALEZA EC,1,1,EMPATE
BRASIL - SÉRIE A,ATLÉTICO PARANAENSE,EC BAHIA,1,0,CASA
BRASIL - SÉRIE A,INTERNACIONAL,SÃO PAULO,1,1,EMPATE
BRASIL - SÉRIE A,SPORT RECIFE,CORINTHIANS,1,0,CASA
BRASIL - SÉRIE A,ATLÉTICO GOIANIENSE,ATLÉTICO MINEIRO,3,4,FORA
BRASIL - SÉRIE A,GRÊMIO,PALMEIRAS,1,1,EMPATE
BRASIL - SÉRIE A,CORITIBA,VASCO DA GAMA,1,0,CASA
BRASIL - SÉRIE A,BOTAFOGO,SANTOS,0,0,EMPATE
