"CONFRONTO_CASA","CONFRONTO_FORA","posse_dif_casa","posse_dif_fora","ataques_dif_casa","ataques_dif_fora","ataques_perigosos_dif_casa","ataques_perigosos_dif_fora","chutes_livres_dif_casa","chutes_livres_dif_fora","conjunto_de_peças_dif_casa","conjunto_de_peças_dif_fora","penaltis_dif_casa","penaltis_dif_fora","tiros_fora_do_alvo_dif_casa","tiros_fora_do_alvo_dif_fora","chaves_dif_casa","chaves_dif_fora","cantos_dif_casa","cantos_dif_fora","faltas_dif_casa","faltas_dif_fora","ResultFT"
Fortaleza,Flamengo,0,18,0,10,0,5,0,7,1,0,0,0,1,0,0,0,0,0,6,0,EMPATE
Goiás,Sport Recife,0,20,0,11,0,11,0,0,0,2,0,2,3,0,6,0,0,0,1,0,CASA
Atlético Mineiro,Coritiba,32,0,30,0,21,0,0,1,0,1,4,0,2,0,8,0,10,0,3,0,CASA
Corinthians,Goiás,18,0,14,0,7,0,2,0,0,6,0,4,2,0,3,0,8,0,0,3,CASA
Fortaleza,Ceará,2,0,0,0,18,0,0,0,0,4,0,1,6,0,0,6,4,0,0,0,FORA
Flamengo,Bahia,0,8,8,0,0,0,4,0,2,0,0,3,1,0,0,5,1,0,0,5,CASA
Vasco da Gama,Santos,0,34,0,24,0,18,0,11,9,0,0,4,0,8,0,6,0,1,11,0,CASA
Bragantino,Athletico PR,18,0,27,0,34,0,11,0,0,11,9,0,12,0,17,0,13,0,0,12,FORA
Coritiba,Botafogo,0,16,0,12,0,4,5,0,0,4,0,3,0,3,0,0,0,7,0,4,FORA
Internacional,Palmeiras,0,14,0,13,0,24,9,0,7,0,0,0,0,7,0,10,0,4,0,8,CASA
Sport Recife,Grêmio,0,20,0,8,0,8,0,11,0,0,0,2,0,2,0,11,0,4,10,0,EMPATE
Atlético GO,Fluminense,0,4,1,0,6,0,0,5,0,4,2,0,4,0,18,0,5,0,3,0,CASA
São Paulo,Atlético Mineiro,0,2,7,0,8,0,2,0,0,6,0,2,5,0,0,4,2,0,0,1,CASA
Vasco da Gama,Fluminense,0,4,5,0,12,0,0,6,0,7,0,0,5,0,8,0,2,0,5,0,EMPATE
Corinthians,São Paulo,0,20,0,13,0,7,0,2,0,4,0,3,2,0,0,8,0,0,1,0,CASA
Sport Recife,Coritiba,10,0,9,0,7,0,0,7,0,1,3,0,2,0,0,3,1,0,6,0,CASA
Flamengo,Santos,12,0,25,0,24,0,0,4,0,6,0,3,0,0,0,0,2,0,2,0,CASA
Goiás,Grêmio,0,32,0,12,0,17,0,0,2,0,0,4,1,0,0,10,0,5,2,0,EMPATE
Ceará,Atlético GO,0,24,0,10,0,8,3,0,0,4,0,3,2,0,0,16,0,6,0,4,FORA
Internacional,Botafogo,0,0,3,0,0,1,0,5,2,0,0,1,0,2,7,0,0,2,5,0,CASA
