"CONFRONTO_CASA","CONFRONTO_FORA","posse_casa","posse_fora","ataques_casa","ataques_fora","ataques_perigosos_casa","ataques_perigosos_fora","ResultFT"
Grêmio,Atlético GO,"44","56","80","72","32","33",CASA
Athletico PR,Vasco da Gama,"53","47","68","67","33","29",CASA
Palmeiras,Bragantino,"42","58","64","94","34","56",CASA
Santos,Ceará,"65","35","87","72","40","36",EMPATE
Botafogo,Corinthians,"47","53","75","73","47","55",FORA
Bahia,Internacional,"49","51","56","62","30","33",FORA
Fluminense,São Paulo,"46","54","71","79","37","51",FORA
Fortaleza,Flamengo,"41","59","50","60","25","30",EMPATE
Goiás,Sport Recife,"40","60","77","88","29","40",CASA
Atlético Mineiro,Coritiba,"66","34","90","60","54","33",CASA
Corinthians,Goiás,"59","41","99","85","55","48",CASA
Fortaleza,Ceará,"51","49","53","53","30","12",FORA
Flamengo,Bahia,"46","54","69","61","29","29",CASA
Vasco da Gama,Santos,"33","67","49","73","19","37",CASA
Bragantino,Athletico PR,"59","41","95","68","51","17",FORA
Coritiba,Botafogo,"42","58","65","77","29","33",FORA
Internacional,Palmeiras,"43","57","79","92","28","52",CASA
Sport Recife,Grêmio,"40","60","70","78","27","35",EMPATE
Atlético GO,Fluminense,"48","52","79","78","34","28",CASA
São Paulo,Atlético Mineiro,"49","51","94","87","54","46",CASA
Vasco da Gama,Fluminense,"48","52","58","53","33","21",EMPATE
Corinthians,São Paulo,"40","60","67","80","35","42",CASA
Sport Recife,Coritiba,"55","45","87","78","40","33",CASA
Flamengo,Santos,"56","44","81","56","52","28",CASA
Goiás,Grêmio,"34","66","73","85","23","40",EMPATE
Ceará,Atlético GO,"38","62","64","74","24","32",FORA
Internacional,Botafogo,"50","50","87","84","27","28",CASA
Palmeiras,Bahia,"58","42","68","51","28","30",CASA
Athletico PR,Atlético Mineiro,"47","53","75","86","34","41",FORA
Bragantino,Fortaleza,"48","52","94","83","58","48",CASA
São Paulo,Botafogo,"65","35","65","79","46","23",CASA
Atlético GO,Goiás,"63","37","75","65","36","23",FORA
Atlético Mineiro,Internacional,"55","45","77","70","27","26",EMPATE
Grêmio,Vasco da Gama,"55","45","86","70","38","28",CASA
São Paulo,Sport Recife,"64","36","98","80","51","30",CASA
Coritiba,Bragantino,"43","57","81","101","30","54",EMPATE
Fluminense,Athletico PR,"67","33","73","56","41","23",CASA
Bahia,Ceará,"54","46","81","68","30","36",FORA
Botafogo,Flamengo,"40","60","63","67","30","43",FORA
Santos,Palmeiras,"56","44","70","62","50","36",EMPATE
Goiás,São Paulo,"36","64","51","73","21","34",FORA
Fortaleza,Corinthians,"42","58","62","62","31","23",EMPATE
Fluminense,Bragantino,"49","51","60","96","28","48",EMPATE
Grêmio,Goiás,"65","35","89","58","42","17",CASA
Vasco da Gama,Ceará,"66","34","78","48","37","25",FORA
Atlético GO,Internacional,"47","53","76","79","35","34",EMPATE
Bahia,São Paulo,"38","62","45","62","28","30",FORA
Santos,Sport Recife,"58","42","75","65","40","40",CASA
Palmeiras,Athletico PR,"58","42","101","66","49","23",CASA
Fortaleza,Goiás,"59","41","73","64","36","17",EMPATE
Atlético Mineiro,Botafogo,"59","41","90","71","39","27",CASA
Coritiba,Corinthians,"50","50","84","83","42","33",FORA
Ceará,São Paulo,"39","61","69","58","25","24",EMPATE
Sport Recife,Atlético GO,"54","46","78","68","41","34",FORA
Corinthians,Grêmio,"34","66","79","106","41","57",EMPATE
Internacional,Fluminense,"54","46","84","74","31","22",FORA
Botafogo,Fortaleza,"62","38","66","51","51","27",FORA
São Paulo,Vasco da Gama,"65","35","93","77","50","26",EMPATE
Ceará,Atlético Mineiro,"46","54","61","67","27","31",EMPATE
Goiás,Palmeiras,"55","45","90","96","44","34",CASA
Athletico PR,Santos,"61","39","98","67","45","25",CASA
Flamengo,Coritiba,"57","43","83","70","47","29",CASA
Bragantino,Bahia,"49","51","89","77","31","30",CASA
Vasco da Gama,Fortaleza,"48","52","72","68","47","44",EMPATE
Atlético Mineiro,Athletico PR,"64","36","93","68","47","38",FORA
Botafogo,Bragantino,"55","45","76","63","47","40",FORA
Coritiba,Bahia,"52","48","77","87","35","39",FORA
Palmeiras,Fluminense,"47","53","92","88","40","40",CASA
Flamengo,Atlético GO,"62","38","74","67","45","38",EMPATE
Fortaleza,São Paulo,"49","51","63","69","17","33",FORA
Corinthians,Atlético Mineiro,"35","65","72","112","32","53",FORA
Grêmio,Ceará,"57","43","108","80","34","34",CASA
Goiás,Athletico PR,"50","50","87","71","35","36",FORA
Sport Recife,Vasco da Gama,"55","45","86","89","38","31",FORA
Santos,Internacional,"45","55","73","88","48","46",CASA
Bahia,Fortaleza,"37","63","57","88","26","42",CASA
Fluminense,Grêmio,"59","41","86","85","41","40",FORA
Ceará,Sport Recife,"56","44","83","63","40","15",EMPATE
Atlético Mineiro,Flamengo,"32","68","71","97","31","42",CASA
Bahia,Botafogo,"59","41","63","62","39","25",CASA
Bragantino,Santos,"53","47","94","77","32","24",EMPATE
Vasco da Gama,Palmeiras,"40","60","77","88","38","62",FORA
Internacional,Coritiba,"62","38","102","64","40","28",EMPATE
Atlético GO,Corinthians,"48","52","83","84","40","33",EMPATE
São Paulo,Goiás,"65","35","76","66","45","26",CASA
Athletico PR,Fortaleza,"61","39","81","78","40","28",CASA
Grêmio,Bragantino,"52","48","100","86","33","32",CASA
Palmeiras,Atlético Mineiro,"37","63","77","88","35","45",CASA
Goiás,Vasco da Gama,"45","55","70","89","33","36",EMPATE
Santos,Bahia,"49","51","72","64","44","46",CASA
Flamengo,São Paulo,"59","41","79","63","53","40",FORA
Sport Recife,Athletico PR,"41","59","92","91","31","40",CASA
Fortaleza,Fluminense,"41","59","44","81","9","23",FORA
Corinthians,Internacional,"36","64","79","106","29","40",CASA
Coritiba,Atlético GO,"36","64","57","80","23","41",CASA
Botafogo,Ceará,"59","41","77","72","50","42",EMPATE
Vasco da Gama,Corinthians,"61","39","68","56","39","34",FORA
Botafogo,Goiás,"61","39","89","58","70","32",EMPATE
Bahia,Atlético Mineiro,"30","70","60","89","31","59",CASA
Bragantino,Sport Recife,"54","46","103","86","47","23",CASA
Fortaleza,Palmeiras,"51","49","61","67","17","32",CASA
Internacional,Vasco da Gama,"56","44","84","75","32","26",CASA
Corinthians,Flamengo,"43","57","78","96","39","43",FORA
São Paulo,Grêmio,"53","47","72","72","33","33",EMPATE
Fluminense,Ceará,"55","45","90","88","46","51",EMPATE
Coritiba,Santos,"52","48","82","68","39","34",FORA
Atlético GO,Athletico PR,"42","58","78","80","25","46",EMPATE
Goiás,Bahia,"47","53","95","87","23","44",EMPATE
Flamengo,Bragantino,"63","37","101","85","60","42",EMPATE
Atlético Mineiro,Fluminense,"62","38","79","55","47","29",EMPATE
Sport Recife,Internacional,"46","54","78","106","27","37",FORA
Athletico PR,Corinthians,"62","38","107","77","49","31",FORA
Santos,Atlético GO,"53","47","72","64","48","42",FORA
Grêmio,Botafogo,"51","49","85","74","29","37",CASA
Palmeiras,Coritiba,"54","46","97","71","44","31",FORA
Flamengo,Goiás,"63","37","96","68","65","31",CASA
Internacional,Athletico PR,"47","53","94","97","26","37",CASA
Ceará,Corinthians,"47","53","62","57","27","23",CASA
Sport Recife,Botafogo,"52","48","96","72","38","24",FORA
Atlético GO,Bragantino,"54","46","80","75","41","36",CASA
Fluminense,Bahia,"50","50","86","84","45","43",CASA
Santos,Grêmio,"53","47","73","63","43","45",CASA
Atlético Mineiro,Goiás,"67","33","97","73","60","25",CASA
Palmeiras,São Paulo,"47","53","79","77","42","37",FORA
Coritiba,Fortaleza,"44","56","70","84","35","28",EMPATE
Vasco da Gama,Flamengo,"43","57","54","71","25","43",FORA
Bragantino,Internacional,"51","49","82","88","28","24",FORA
Athletico PR,Ceará,"58","42","86","76","43","35",EMPATE
Botafogo,Palmeiras,"39","61","73","87","45","56",CASA
Fortaleza,Atlético Mineiro,"36","64","49","69","19","41",CASA
São Paulo,Atlético GO,"49","51","64","92","35","38",CASA
Goiás,Fluminense,"48","52","79","90","29","37",FORA
Flamengo,Sport Recife,"60","40","83","63","53","29",CASA
Grêmio,Coritiba,"46","54","81","75","30","38",CASA
Bahia,Vasco da Gama,"45","55","77","83","36","39",CASA
Corinthians,Santos,"58","42","106","85","51","30",EMPATE
Atlético Mineiro,Vasco da Gama,"58","42","72","60","51","23",CASA
Bahia,Sport Recife,"62","38","76","62","47","25",FORA
Fortaleza,Atlético GO,"56","44","67","57","28","26",EMPATE
Goiás,Santos,"52","48","77","65","35","26",FORA
Flamengo,Athletico PR,"47","53","76","79","51","42",CASA
Coritiba,São Paulo,"31","69","59","88","19","54",EMPATE
Botafogo,Fluminense,"54","46","79","64","49","35",EMPATE
Bragantino,Corinthians,"47","53","89","80","34","35",EMPATE
Palmeiras,Ceará,"60","40","79","81","42","34",CASA
Grêmio,Internacional,"49","51","63","76","26","30",EMPATE
Botafogo,Bahia,"60","40","85","64","55","37",FORA
Corinthians,Atlético GO,"46","54","79","87","34","53",EMPATE
Fluminense,Coritiba,"46","54","76","93","40","42",CASA
Santos,Fortaleza,"52","48","67","74","42","37",EMPATE
Ceará,Goiás,"58","42","65","45","35","21",EMPATE
Atlético GO,Botafogo,"49","51","71","78","39","34",EMPATE
Palmeiras,Flamengo,"54","46","69","76","51","31",EMPATE
Vasco da Gama,Bragantino,"55","45","81","58","40","29",EMPATE
Atlético Mineiro,Grêmio,"56","44","72","71","37","19",CASA
Internacional,São Paulo,"42","58","99","78","31","35",EMPATE
Athletico PR,Bahia,"49","51","97","83","33","34",CASA
Sport Recife,Corinthians,"45","55","91","89","26","41",CASA
Sport Recife,Fluminense,"32","68","61","143","19","52",CASA
Botafogo,Santos,"47","53","74","76","42","52",EMPATE
Grêmio,Palmeiras,"62","38","93","77","44","31",EMPATE
Coritiba,Vasco da Gama,"54","46","81","72","31","33",CASA
Atlético GO,Atlético Mineiro,"44","56","80","95","43","44",FORA
Bragantino,Ceará,"40","60","81","94","35","32",CASA
Fortaleza,Internacional,"38","62","47","79","20","35",CASA
Corinthians,Bahia,"34","66","62","74","19","47",CASA
Botafogo,Vasco da Gama,"53","47","69","72","48","41",FORA
Palmeiras,Sport Recife,"60","40","94","77","49","20",EMPATE
Atlético Mineiro,Bragantino,"62","38","85","62","39","21",CASA
Bahia,Atlético GO,"47","53","70","68","38","42",FORA
Ceará,Flamengo,"41","59","55","64","24","42",CASA
Goiás,Internacional,"21","79","44","73","10","55",CASA
Fluminense,Corinthians,"51","49","75","60","34","27",CASA
Grêmio,Fortaleza,"59","41","73","81","38","23",EMPATE
Santos,São Paulo,"54","46","93","84","55","60",EMPATE
Athletico PR,Coritiba,"48","52","78","85","40","35",CASA
Vasco da Gama,Atlético GO,"54","46","62","64","33","36",FORA
Corinthians,Palmeiras,"49","51","82","84","32","42",FORA
Internacional,Ceará,"61","39","102","83","45","44",CASA
Bahia,Grêmio,"54","46","72","88","40","37",FORA
Fluminense,Flamengo,"53","47","91","73","47","38",FORA
Santos,Atlético Mineiro,"48","52","69","86","45","54",CASA
São Paulo,Bragantino,"56","44","97","81","55","31",EMPATE
Fortaleza,Sport Recife,"59","41","51","61","30","16",CASA
