"CONFRONTO_CASA","CONFRONTO_FORA","DIF_GOLS_FT","Result"
Cruzeiro,Grêmio,1,FORA
Vitória,Flamengo,0,EMPATE
Santos,Ceará,2,CASA
América Mineiro,Sport Recife,3,CASA
Vasco da Gama,Atlético Mineiro,1,CASA
Corinthians,Fluminense,1,CASA
Internacional,Bahia,2,CASA
Athletico PR,Chapecoense,4,CASA
Botafogo,Palmeiras,0,EMPATE
São Paulo,Paraná,1,CASA
Bahia,Santos,1,CASA
Flamengo,América Mineiro,2,CASA
Paraná,Corinthians,4,FORA
Atlético Mineiro,Vitória,1,CASA
Chapecoense,Vasco da Gama,0,EMPATE
Fluminense,Cruzeiro,1,CASA
Ceará,São Paulo,0,EMPATE
Palmeiras,Internacional,1,CASA
Grêmio,Athletico PR,0,EMPATE
Sport Recife,Botafogo,0,EMPATE
Botafogo,Grêmio,1,CASA
Atlético Mineiro,Corinthians,1,CASA
Paraná,Sport Recife,1,FORA
Bahia,Athletico PR,0,EMPATE
Fluminense,São Paulo,0,EMPATE
Ceará,Flamengo,3,FORA
Palmeiras,Chapecoense,0,EMPATE
Internacional,Cruzeiro,0,EMPATE
América Mineiro,Vitória,1,CASA
Vasco da Gama,América Mineiro,3,CASA
São Paulo,Atlético Mineiro,0,EMPATE
Corinthians,Ceará,0,EMPATE
Cruzeiro,Botafogo,1,CASA
Athletico PR,Palmeiras,2,FORA
Vitória,Fluminense,1,FORA
Flamengo,Internacional,2,CASA
Sport Recife,Bahia,2,CASA
Grêmio,Santos,4,CASA
Chapecoense,Paraná,0,EMPATE
Grêmio,Internacional,0,EMPATE
Cruzeiro,Sport Recife,2,CASA
Athletico PR,Atlético Mineiro,1,FORA
Chapecoense,Flamengo,1,CASA
Bahia,São Paulo,0,EMPATE
Vasco da Gama,Vitória,1,FORA
Corinthians,Palmeiras,1,CASA
Santos,Paraná,2,CASA
Botafogo,Fluminense,1,CASA
Ceará,América Mineiro,0,EMPATE
Atlético Mineiro,Cruzeiro,1,CASA
Flamengo,Vasco da Gama,0,EMPATE
Palmeiras,Bahia,3,CASA
Vitória,Ceará,1,CASA
Paraná,Grêmio,0,EMPATE
América Mineiro,Botafogo,1,CASA
São Paulo,Santos,1,CASA
Sport Recife,Corinthians,0,EMPATE
Fluminense,Athletico PR,2,CASA
Internacional,Chapecoense,3,CASA
Fluminense,Chapecoense,2,CASA
Palmeiras,Sport Recife,1,FORA
Atlético Mineiro,Flamengo,1,FORA
Paraná,Athletico PR,0,EMPATE
Bahia,Vasco da Gama,3,CASA
Botafogo,Vitória,0,EMPATE
Santos,Cruzeiro,1,FORA
Internacional,Corinthians,1,CASA
América Mineiro,São Paulo,2,FORA
Ceará,Grêmio,1,FORA
Vitória,Internacional,1,FORA
Vasco da Gama,Paraná,1,CASA
Sport Recife,Atlético Mineiro,1,CASA
Chapecoense,Ceará,2,CASA
São Paulo,Botafogo,1,CASA
Cruzeiro,Palmeiras,1,CASA
Grêmio,Fluminense,0,EMPATE
Flamengo,Bahia,2,CASA
Corinthians,América Mineiro,1,CASA
Athletico PR,Santos,2,CASA
Atlético Mineiro,Chapecoense,0,EMPATE
Internacional,Sport Recife,0,EMPATE
Vasco da Gama,Botafogo,1,FORA
Palmeiras,São Paulo,2,CASA
América Mineiro,Athletico PR,2,CASA
Bahia,Grêmio,2,FORA
Flamengo,Corinthians,1,CASA
Santos,Vitória,3,CASA
Ceará,Cruzeiro,1,FORA
Paraná,Fluminense,1,CASA
São Paulo,Internacional,0,EMPATE
Vitória,Chapecoense,1,CASA
Botafogo,Ceará,0,EMPATE
Sport Recife,Athletico PR,1,CASA
Corinthians,Santos,0,EMPATE
Cruzeiro,Vasco da Gama,0,EMPATE
Grêmio,Palmeiras,2,FORA
Paraná,Bahia,1,CASA
Fluminense,Flamengo,2,FORA
América Mineiro,Atlético Mineiro,2,FORA
Athletico PR,São Paulo,1,FORA
Chapecoense,Cruzeiro,2,CASA
Vasco da Gama,Sport Recife,1,CASA
Corinthians,Vitória,0,EMPATE
Atlético Mineiro,Fluminense,3,CASA
Bahia,Botafogo,0,EMPATE
Ceará,Palmeiras,0,EMPATE
Grêmio,América Mineiro,1,CASA
Flamengo,Paraná,2,CASA
Santos,Internacional,1,FORA
São Paulo,Vitória,3,CASA
América Mineiro,Chapecoense,0,EMPATE
Fluminense,Santos,1,FORA
Paraná,Cruzeiro,0,EMPATE
Sport Recife,Grêmio,0,EMPATE
Botafogo,Athletico PR,2,CASA
Palmeiras,Flamengo,0,EMPATE
Atlético Mineiro,Ceará,1,CASA
Bahia,Corinthians,1,CASA
Internacional,Vasco da Gama,2,CASA
Ceará,Sport Recife,1,CASA
Vitória,Paraná,1,CASA
Flamengo,São Paulo,1,FORA
Corinthians,Botafogo,2,CASA
Grêmio,Atlético Mineiro,2,CASA
Cruzeiro,América Mineiro,2,CASA
Chapecoense,Bahia,0,EMPATE
Vasco da Gama,Fluminense,0,EMPATE
Santos,Palmeiras,0,EMPATE
Athletico PR,Internacional,0,EMPATE
Flamengo,Botafogo,2,CASA
São Paulo,Corinthians,2,CASA
Paraná,América Mineiro,1,CASA
Bahia,Vitória,3,CASA
Vasco da Gama,Grêmio,1,CASA
Sport Recife,Fluminense,1,FORA
Palmeiras,Atlético Mineiro,1,CASA
Cruzeiro,Athletico PR,1,CASA
Chapecoense,Santos,0,EMPATE
Internacional,Ceará,1,CASA
Fluminense,Palmeiras,1,CASA
Atlético Mineiro,Paraná,2,CASA
Santos,Flamengo,0,EMPATE
Corinthians,Cruzeiro,2,CASA
Vitória,Sport Recife,1,CASA
Botafogo,Chapecoense,1,CASA
Grêmio,São Paulo,1,CASA
América Mineiro,Internacional,1,CASA
Ceará,Fluminense,1,CASA
Vasco da Gama,Corinthians,3,FORA
Palmeiras,Paraná,3,CASA
Cruzeiro,São Paulo,2,FORA
Athletico PR,Vitória,4,CASA
Flamengo,Sport Recife,3,CASA
Internacional,Botafogo,3,CASA
Chapecoense,Grêmio,0,EMPATE
Santos,América Mineiro,1,FORA
Bahia,Atlético Mineiro,0,EMPATE
Botafogo,Santos,0,EMPATE
Grêmio,Flamengo,2,CASA
Corinthians,Athletico PR,0,EMPATE
Paraná,Ceará,1,FORA
América Mineiro,Palmeiras,0,EMPATE
Vitória,Cruzeiro,0,EMPATE
São Paulo,Vasco da Gama,1,CASA
Fluminense,Bahia,0,EMPATE
Sport Recife,Chapecoense,0,EMPATE
Atlético Mineiro,Internacional,1,FORA
Ceará,Santos,0,EMPATE
Ceará,Athletico PR,0,EMPATE
Bahia,América Mineiro,1,CASA
Atlético Mineiro,Santos,2,CASA
Paraná,Botafogo,0,EMPATE
Chapecoense,Corinthians,1,CASA
Flamengo,Cruzeiro,1,CASA
Sport Recife,São Paulo,2,FORA
Palmeiras,Vasco da Gama,1,CASA
Grêmio,Vitória,4,CASA
Fluminense,Internacional,3,FORA
Santos,Sport Recife,3,CASA
Corinthians,Grêmio,1,FORA
Athletico PR,Flamengo,3,CASA
Internacional,Paraná,1,CASA
Cruzeiro,Bahia,0,EMPATE
Vitória,Palmeiras,3,FORA
Botafogo,Atlético Mineiro,3,FORA
América Mineiro,Fluminense,0,EMPATE
São Paulo,Chapecoense,2,CASA
Vasco da Gama,Ceará,0,EMPATE
Paraná,São Paulo,0,EMPATE
Bahia,Internacional,1,FORA
Sport Recife,América Mineiro,2,FORA
Palmeiras,Botafogo,2,CASA
Fluminense,Corinthians,1,CASA
Grêmio,Cruzeiro,0,EMPATE
Flamengo,Vitória,1,CASA
Atlético Mineiro,Vasco da Gama,0,EMPATE
Santos,Bahia,2,CASA
Athletico PR,Grêmio,1,CASA
Corinthians,Paraná,1,CASA
Cruzeiro,Fluminense,1,CASA
Botafogo,Sport Recife,2,CASA
São Paulo,Ceará,1,CASA
América Mineiro,Flamengo,0,EMPATE
Vitória,Atlético Mineiro,1,CASA
Internacional,Palmeiras,0,EMPATE
Vasco da Gama,Chapecoense,2,CASA
Athletico PR,Vasco da Gama,1,CASA
Ceará,Bahia,2,FORA
Vitória,América Mineiro,1,CASA
Grêmio,Botafogo,4,CASA
Vasco da Gama,Santos,3,FORA
Corinthians,Atlético Mineiro,0,EMPATE
Flamengo,Ceará,1,FORA
Athletico PR,Bahia,2,CASA
São Paulo,Fluminense,0,EMPATE
Sport Recife,Paraná,1,CASA
Cruzeiro,Internacional,0,EMPATE
Chapecoense,Palmeiras,1,FORA
Bahia,Sport Recife,2,CASA
Botafogo,Cruzeiro,0,EMPATE
Ceará,Corinthians,1,CASA
Paraná,Chapecoense,0,EMPATE
Palmeiras,Athletico PR,2,CASA
Atlético Mineiro,São Paulo,1,CASA
Internacional,Flamengo,1,CASA
Fluminense,Vitória,0,EMPATE
Santos,Grêmio,0,EMPATE
América Mineiro,Vasco da Gama,1,CASA
Sport Recife,Cruzeiro,0,EMPATE
São Paulo,Bahia,1,CASA
Flamengo,Chapecoense,2,CASA
América Mineiro,Ceará,0,EMPATE
Fluminense,Botafogo,1,CASA
Palmeiras,Corinthians,1,CASA
Internacional,Grêmio,1,CASA
Paraná,Santos,2,FORA
Vitória,Vasco da Gama,1,CASA
Atlético Mineiro,Athletico PR,2,CASA
Chapecoense,Athletico PR,1,CASA
Ceará,Vitória,2,CASA
Grêmio,Paraná,2,CASA
Vasco da Gama,Flamengo,0,EMPATE
Botafogo,América Mineiro,1,CASA
Cruzeiro,Atlético Mineiro,0,EMPATE
Athletico PR,Fluminense,2,CASA
Bahia,Palmeiras,0,EMPATE
Santos,São Paulo,0,EMPATE
Corinthians,Sport Recife,1,CASA
Chapecoense,Internacional,1,CASA
São Paulo,América Mineiro,0,EMPATE
Grêmio,Ceará,1,CASA
Athletico PR,Paraná,3,CASA
Flamengo,Atlético Mineiro,1,CASA
Corinthians,Internacional,0,EMPATE
Vitória,Botafogo,1,FORA
Sport Recife,Palmeiras,1,FORA
Cruzeiro,Santos,1,CASA
Chapecoense,Fluminense,1,FORA
Vasco da Gama,Bahia,1,CASA
Santos,Vasco da Gama,0,EMPATE
Fluminense,Grêmio,1,FORA
América Mineiro,Corinthians,0,EMPATE
Bahia,Flamengo,0,EMPATE
Palmeiras,Cruzeiro,2,CASA
Atlético Mineiro,Sport Recife,3,CASA
Botafogo,São Paulo,0,EMPATE
Santos,Athletico PR,1,CASA
Internacional,Vitória,1,CASA
Ceará,Chapecoense,2,CASA
Paraná,Vasco da Gama,0,EMPATE
Sport Recife,Internacional,1,CASA
Corinthians,Flamengo,3,FORA
Vitória,Santos,1,FORA
Athletico PR,América Mineiro,4,CASA
Chapecoense,Atlético Mineiro,1,CASA
São Paulo,Palmeiras,2,FORA
Grêmio,Bahia,0,EMPATE
Fluminense,Paraná,4,CASA
Botafogo,Vasco da Gama,0,EMPATE
Flamengo,Fluminense,3,CASA
Santos,Corinthians,1,CASA
Bahia,Paraná,2,CASA
Chapecoense,Vitória,1,FORA
Vasco da Gama,Cruzeiro,2,CASA
Palmeiras,Grêmio,2,CASA
Internacional,São Paulo,2,CASA
Atlético Mineiro,América Mineiro,0,EMPATE
Athletico PR,Sport Recife,4,CASA
Ceará,Botafogo,0,EMPATE
América Mineiro,Grêmio,0,EMPATE
Botafogo,Bahia,1,FORA
São Paulo,Athletico PR,0,EMPATE
Sport Recife,Vasco da Gama,1,CASA
Vitória,Corinthians,0,EMPATE
Fluminense,Atlético Mineiro,1,CASA
Palmeiras,Ceará,1,CASA
Cruzeiro,Chapecoense,3,CASA
Paraná,Flamengo,4,FORA
